orderHash,subaccountId,marketId,tradeExecutionType,payout,fee,feeRecipient,tradeId,executionSide,isLiquidation,cid,tradeDirection,executionPrice,executionQuantity,executionMargin,Original_Time,eth_address
0xdabc10df6df520e6538c2ca45dd97b97be0f17093e8bc374aeeb62d54262f527,0x5ed8a1831efc4d2d31c0a0c8253bb255e4f9002f000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchNewOrder,0.0,539.94,inj1tmv2rqc7l3xj6vwq5ryz2waj2hj0jqp0srtyd4,63570084_7,taker,False,2debaf70-34e7-494a-b330-1ba609357a54,sell,8999000.0,0.1,700000.0,1710802615195,inj1tmv2rqc7l3xj6vwq5ryz2waj2hj0jqp0srtyd4
0xe5cf7fb4cb669adbaac4493390f194af7bec98204c4cac40c31f4c79041e5486,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchRestingOrder,0.0,-89.99,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63570084_6,maker,False,,buy,8999000.0,0.1,900245.298446443,1710802615195,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x47b0d60b9adc1eb4b6ef7be362ab68eb5f8d5b0a961fef6d3f68808ab146a448,0x542e818d6b07f394edef97b0d6bbc24ad619e3a3000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,14535.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63616877_3,taker,False,,buy,9000000.0,1.7,10251000.0,1710857812848,inj12shgrrttqleefm00j7cddw7zfttpncareke8kd
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-918.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63616877_4,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,1.7,6120000.0,1710857812848,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0xe7eb733aecac90ae5e2fa33eb6ab87b42d33e3167de941e3e9e043d216ad4549,0x542e818d6b07f394edef97b0d6bbc24ad619e3a3000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,10233930.837839916,14533.385,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63651257_0,taker,False,,sell,8999000.0,1.7,0.0,1710900305489,inj12shgrrttqleefm00j7cddw7zfttpncareke8kd
0xe8642ceae8d32ba226e2fb232742f383348beba74751ec9f2335d16dfad7bb90,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-1529.83,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63651257_1,maker,False,,buy,8999000.0,1.7,15304170.073589532,1710900305489,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0xbb950efbd65e445669ea514a37dea3840fce2ff52ed79833a0a39d4855f39d08,0x7ac5dd9bf66d50864e228881e7f1714f6c2723f4000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,24754870.0898159,44095.1,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63696879_0,taker,False,,sell,8999000.0,4.9,0.0,1710950456430,inj10tzamxlkd4ggvn3z3zq70ut3fakzwgl5262ynu
0x72aa47df297c3639b267eb2480d78783380b17a0fa0dbd3ab54339aaa7f54a51,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-4409.51,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63696879_1,maker,False,,buy,8999000.0,4.9,44112019.62387572,1710950456430,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x0056cf6e3fabf03dfff0055d76923dd1abc53ea0789182cfd792ff4e02b1999b,0xc722e320aac2d1c383d510490373c11a487616e2000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,115200.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63718910_0,taker,False,,buy,9000000.0,12.8,115776000.0,1710975069708,inj1cu3wxg92ctgu8q74zpysxu7prfy8v9hzjq9l5v
0x0855ac19e555c09466344af3620c5b0f226b28e5e28c565510ce370438a2c94f,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,63021176.3726355,-11520.0,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63718910_1,maker,False,,sell,9000000.0,12.8,115231398.20114473,1710975069708,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x5093f6415b9f13fa0768e4d0c2b16b5a53004b150e85bf308df74720173b25ac,0xc722e320aac2d1c383d510490373c11a487616e2000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,115648012.8,115187.2,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63718928_0,taker,False,,sell,8999000.0,12.8,0.0,1710975089134,inj1cu3wxg92ctgu8q74zpysxu7prfy8v9hzjq9l5v
0xdc3c56675a6abf16298a143eac06d7d5c830ddedb7b7f0e43bcf3c7f396aa089,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,52220027.3098937,-11518.72,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63718928_1,maker,False,,buy,8999000.0,12.8,115231398.20114473,1710975089134,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0xfffb61fcfe07395c997c02b9d4587b5385abbd9a9418f8350ca84c81b68fad07,0xc722e320aac2d1c383d510490373c11a487616e2000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,116087.1,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63718941_0,taker,False,,sell,8999000.0,12.9,115506600.0,1710975101027,inj1cu3wxg92ctgu8q74zpysxu7prfy8v9hzjq9l5v
0xdc3c56675a6abf16298a143eac06d7d5c830ddedb7b7f0e43bcf3c7f396aa089,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-11608.71,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63718941_1,maker,False,,buy,8999000.0,12.9,116131643.49959116,1710975101027,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x48206be7c06be1cc999f096e76a8fecb1ba6c7a20e9430e77e03e88f87deb10b,0xc722e320aac2d1c383d510490373c11a487616e2000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,115377600.0,116100.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63718950_0,taker,False,,buy,9000000.0,12.9,0.0,1710975111076,inj1cu3wxg92ctgu8q74zpysxu7prfy8v9hzjq9l5v
0x0855ac19e555c09466344af3620c5b0f226b28e5e28c565510ce370438a2c94f,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,116144543.49959116,-11610.0,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63718950_1,maker,False,,sell,9000000.0,12.9,116131643.49959116,1710975111076,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x5ef95754e963af1bd2a16948399ec994ba030134a90abf9f6e376eef57f68c53,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-47964.67,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63758695_1,maker,False,,buy,8999000.0,53.3,479830744.07195425,1711018374178,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x59d593968ab7dde0e133b69efd97a5bd2366edfa55b4df4e79645a9091a78a79,0xb22f29fa64b0478dac8cca09fd89347d54af97a8000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,242196906.68563384,479646.7,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63758695_0,taker,False,,sell,8999000.0,53.3,0.0,1711018374178,inj1kghjn7nykprcmtyvegylmzf50422l9agqu78dj
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-5400.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63759429_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,10.0,36000000.0,1711019131689,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
